Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
UBE2QL1	FLJ25076	ENSG00000215218	"Ubiquitin conjugating enzyme E2 Q family like 1"	A1L167	5	6448859-6496723	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 26.1;heart muscle: 16.8;retina: 28.3;skeletal muscle: 54.5;tongue: 13.9"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 30.2;Cardiomyocytes: 29.9;Cone photoreceptor cells: 27.6;Excitatory neurons: 47.1;Granulosa cells: 45.4;Horizontal cells: 26.9;Inhibitory neurons: 34.4;Rod photoreceptor cells: 58.0"	"Cancer enhanced"	"Detected in many"		"thyroid cancer: 5.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 16.3"	"Heart muscle - Cardiomyocytes, Kidney - Intercalated cells, Pancreas - Alpha cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA057414			Supported	"Nucleoplasm,Plasma membrane"		NA	NA				"Cluster 54: Non-specific - Microtubule organization"	"Cluster 51: Myeloma - Humoral immune response"	"Cluster 44: Photoreceptor cells - Visual perception"	Nucleoplasm	"Plasma membrane"	"HPA057414: "	"unprognostic (1.45e-2)"	"unprognostic (1.58e-2)"	"unprognostic (1.79e-2)"	"unprognostic (2.10e-1)"	"unprognostic (1.08e-2)"	"unprognostic (7.43e-2)"	"unprognostic (1.15e-2)"	"unprognostic (1.36e-1)"	"unprognostic (3.10e-1)"	"unprognostic (7.16e-2)"	"unprognostic (2.15e-3)"	"unprognostic (8.41e-2)"	"prognostic favorable (6.81e-8)"	"unprognostic (3.18e-3)"	"unprognostic (2.81e-1)"	"unprognostic (1.27e-2)"	"unprognostic (1.41e-2)"
VDAC3	HD-VDAC3	ENSG00000078668	"Voltage dependent anion channel 3"	Q9Y277	8	42391624-42405937	"Plasma proteins, Predicted intracellular proteins"	"Ion transport, Transport"	Porin		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	5	"heart muscle: 385.2;skeletal muscle: 914.4;tongue: 942.7"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 449.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA026864	Uncertain		Supported	Mitochondria		NA	NA		1200000	"Cluster 12: Non-specific - Basic cellular processes"	"Cluster 80: Striated muscle - Unknown function"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 4: Platelets - Platelet activation"	Mitochondria		"HPA026864: AB_1858733"	"unprognostic (2.55e-2)"	"unprognostic (1.96e-2)"	"unprognostic (9.88e-3)"	"unprognostic (4.40e-2)"	"unprognostic (1.26e-1)"	"unprognostic (2.00e-1)"	"unprognostic (4.98e-2)"	"unprognostic (2.25e-2)"	"unprognostic (1.40e-2)"	"unprognostic (5.76e-2)"	"unprognostic (3.74e-1)"	"unprognostic (1.19e-2)"	"unprognostic (6.16e-3)"	"unprognostic (2.96e-2)"	"unprognostic (1.76e-1)"	"unprognostic (8.78e-3)"	"unprognostic (6.94e-3)"
VWC2	"PSST739, UNQ739"	ENSG00000188730	"Von Willebrand factor C domain containing 2"	Q2TAL6	7	49773638-49921950	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"brain: 8.9;heart muscle: 5.0;ovary: 4.9"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 50.8;Excitatory neurons: 64.2;Granulosa cells: 45.1;Inhibitory neurons: 354.0;Oligodendrocyte precursor cells: 156.4"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"cerebellum: 8.9"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA055243	Approved				"Secreted to extracellular matrix"	NA	NA		39000		"Cluster 21: Non-specific - Transcription"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 37: Neurons - Neuronal signaling"			"HPA055243: AB_2682755"	"unprognostic (3.30e-1)"	"unprognostic (1.04e-1)"	"unprognostic (8.90e-4)"	"unprognostic (8.97e-2)"	"unprognostic (8.77e-2)"	"unprognostic (1.56e-3)"		"unprognostic (3.41e-2)"		"unprognostic (4.11e-1)"	"unprognostic (6.65e-2)"	"unprognostic (1.69e-4)"	"unprognostic (1.60e-2)"	"unprognostic (2.09e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.94e-1)"	"unprognostic (9.70e-3)"
ADAMTS7	"ADAM-TS7, DKFZp434H204"	ENSG00000136378	"ADAM metallopeptidase with thrombospondin type 1 motif 7"	Q9UKP4	15	78759206-78811464	"Plasma proteins, Predicted secreted proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"heart muscle: 30.6"	"Cell type enhanced"	"Detected in some"		"granulocytes: 15.9;Oligodendrocyte precursor cells: 9.1;Schwann cells: 9.1;Theca cells: 48.6"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 15.2"	"Colon - Enteric glia cells, Skeletal muscle - Fibroblasts, Stomach - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA045284, HPA048453"	Uncertain		Supported	Vesicles	"Secreted to extracellular matrix"	NA	NA				"Cluster 46: Fibroblasts - ECM organization"	"Cluster 62: Granulocytes - Innate immune response"	"Cluster 66: Endothelial cells - Angiogenesis"	Vesicles		"HPA045284: AB_2679285, HPA048453: AB_2680399"	"unprognostic (5.94e-3)"	"unprognostic (9.94e-3)"	"unprognostic (2.76e-2)"	"unprognostic (7.09e-2)"	"unprognostic (3.38e-1)"	"unprognostic (1.93e-1)"	"unprognostic (5.88e-4)"	"unprognostic (3.34e-3)"	"unprognostic (2.89e-2)"	"unprognostic (3.31e-2)"	"unprognostic (1.83e-2)"	"unprognostic (3.79e-1)"	"unprognostic (1.34e-2)"	"prognostic unfavorable (9.53e-4)"	"unprognostic (1.59e-1)"	"unprognostic (2.66e-2)"	"unprognostic (8.86e-2)"
ALPK2	HAK	ENSG00000198796	"Alpha kinase 2"	Q86TB3	18	58481247-58629091	"Cancer-related genes, Enzymes, Predicted intracellular proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"heart muscle: 41.9;skeletal muscle: 38.3;tongue: 33.2"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 137.8;Cone photoreceptor cells: 39.6;Late spermatids: 24.0;Skeletal myocytes: 59.4"	"Cancer enriched"	"Detected in some"	6	"renal cancer: 7.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 36.7"	"Heart muscle - Cardiomyocytes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA027377, HPA027976, HPA028084, HPA029801"	Uncertain		Approved	Cytosol		NA	NA				"Cluster 38: Heart - Muscle contraction"	"Cluster 68: Kidney - Mixed function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Cytosol		"HPA027377: AB_10600635, HPA027976: AB_10611246, HPA028084: AB_10601996, HPA029801: AB_10602006"	"unprognostic (7.35e-2)"	"unprognostic (4.91e-2)"	"unprognostic (1.64e-1)"	"unprognostic (4.60e-3)"	"unprognostic (2.64e-1)"	"unprognostic (8.27e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.41e-1)"	"unprognostic (3.44e-1)"	"unprognostic (1.06e-1)"	"unprognostic (5.13e-2)"	"unprognostic (1.33e-2)"	"prognostic unfavorable (8.20e-5)"	"unprognostic (5.27e-3)"	"unprognostic (2.50e-1)"	"unprognostic (4.73e-2)"	"unprognostic (3.20e-2)"
ALPK3	"KIAA1330, MAK, Midori"	ENSG00000136383	"Alpha kinase 3"	Q96L96	15	84817356-84873479	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		"Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"heart muscle: 62.7;skeletal muscle: 195.8;tongue: 59.1"	"Group enriched"	"Detected in many"	5	"Cardiomyocytes: 54.0;Skeletal myocytes: 200.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Sarcoma: 10.0"	"Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA026558	Uncertain		Approved	Nucleoplasm		NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 27: Skeletal myocytes - Muscle contraction"	Nucleoplasm		"HPA026558: AB_1844774"	"unprognostic (2.69e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.71e-2)"	"unprognostic (4.61e-2)"	"unprognostic (2.08e-1)"	"unprognostic (6.53e-2)"	"unprognostic (1.44e-3)"	"unprognostic (1.42e-1)"	"unprognostic (1.68e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.74e-3)"	"unprognostic (1.23e-1)"	"prognostic favorable (3.95e-7)"	"unprognostic (1.76e-2)"	"unprognostic (1.77e-1)"	"unprognostic (2.96e-2)"	"unprognostic (4.87e-2)"
ANO5	"GDD1, LGMD2L, TMEM16E"	ENSG00000171714	"Anoctamin 5"	Q75V66	11	21799934-22283357	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Disease variant, Limb-girdle muscular dystrophy, Osteogenesis imperfecta"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"heart muscle: 24.9;parathyroid gland: 17.0;skeletal muscle: 65.5;tongue: 50.4"	"Group enriched"	"Detected in many"	7	"Astrocytes: 65.8;Cardiomyocytes: 99.0;Excitatory neurons: 164.5;Inhibitory neurons: 133.2;Oligodendrocyte precursor cells: 78.0;Skeletal myocytes: 81.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 4.4"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA058857	Uncertain					NA	NA				"Cluster 8: Non-specific - Mitochondria"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 38: Neurons - Neuronal signaling"			"HPA058857: AB_2683835"	"unprognostic (5.25e-3)"	"unprognostic (1.36e-3)"	"unprognostic (2.43e-1)"	"unprognostic (7.67e-3)"	"unprognostic (3.50e-2)"	"unprognostic (5.85e-2)"	"unprognostic (8.17e-3)"	"unprognostic (2.30e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.89e-2)"	"unprognostic (2.54e-4)"	"unprognostic (8.55e-2)"	"prognostic favorable (2.50e-7)"	"unprognostic (3.65e-3)"	"unprognostic (2.84e-1)"	"unprognostic (2.77e-4)"	"unprognostic (7.94e-2)"
C1orf105		ENSG00000180999	"Chromosome 1 open reading frame 105"	O95561	1	172420685-172468831	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"heart muscle: 17.4;testis: 26.3"	"Cell type enriched"	"Detected in some"	5	"Early spermatids: 244.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Sarcoma: 11.5"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA079382			Approved	Vesicles		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 43: Testis - Unknown function"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 57: Early spermatids - Flagellum & Golgi organization"	Vesicles		"HPA079382: "	"unprognostic (2.50e-2)"	"unprognostic (2.48e-4)"	"unprognostic (7.11e-2)"	"unprognostic (1.12e-2)"	"unprognostic (7.07e-4)"	"unprognostic (1.27e-3)"	"unprognostic (3.02e-2)"	"unprognostic (1.47e-2)"		"unprognostic (8.22e-2)"	"unprognostic (1.92e-1)"		"unprognostic (1.18e-1)"	"unprognostic (7.65e-4)"	"unprognostic (3.85e-1)"		"unprognostic (1.94e-1)"
CCDC141	"CAMDI, FLJ39502"	ENSG00000163492	"Coiled-coil domain containing 141"	Q6ZP82	2	178829757-179050086	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"heart muscle: 74.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 43.7;Cardiomyocytes: 163.5;Cholangiocytes: 23.1;Early spermatids: 25.3;granulocytes: 26.9;Late spermatids: 25.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in many"		"T-reg: 15.0"	"Group enriched"	"Detected in many"	9	"B-cells: 8.1;T-cells: 15.0"	"Cancer enhanced"	"Detected in some"		"lymphoma: 2.8;Sarcoma: 2.4"	"Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA012718			Approved	Nucleoplasm		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 38: Heart - Muscle contraction"	"Cluster 47: Retina - Visual perception"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Nucleoplasm		"HPA012718: AB_2072055"	"unprognostic (1.58e-1)"	"unprognostic (1.85e-2)"	"unprognostic (3.10e-2)"	"unprognostic (2.37e-1)"	"unprognostic (8.62e-3)"	"unprognostic (4.25e-2)"	"unprognostic (2.98e-2)"	"unprognostic (2.51e-1)"	"unprognostic (1.40e-1)"	"unprognostic (1.74e-2)"	"unprognostic (5.33e-2)"	"unprognostic (8.03e-3)"	"unprognostic (7.71e-8)"	"unprognostic (2.50e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.95e-1)"	"unprognostic (1.53e-1)"
CHCHD3	"FLJ20420, Mic19, MICOS19, MINOS3, PPP1R22"	ENSG00000106554	"Coiled-coil-helix-coiled-coil-helix domain containing 3"	Q9NX63	7	132784870-133082090	"Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation"	Repressor		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"heart muscle: 125.6;skeletal muscle: 351.7;tongue: 243.0"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 271.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042935	Enhanced		Supported	Mitochondria		NA	NA		13000	"Cluster 27: Non-specific - Gene expression"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 31: Non-specific - Transcription"	"Cluster 37: Neurons - Neuronal signaling"	Mitochondria		"HPA042935: AB_10794538"	"unprognostic (1.53e-1)"	"unprognostic (2.50e-1)"	"unprognostic (4.15e-2)"	"unprognostic (3.00e-3)"	"unprognostic (5.69e-2)"	"unprognostic (4.75e-3)"	"prognostic unfavorable (3.25e-4)"	"unprognostic (1.39e-2)"	"unprognostic (1.28e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.69e-3)"	"unprognostic (2.04e-1)"	"prognostic favorable (1.15e-4)"	"unprognostic (4.98e-2)"	"unprognostic (1.20e-1)"	"unprognostic (2.57e-1)"	"unprognostic (8.03e-2)"
CPLX3	CPX-III	ENSG00000213578	"Complexin 3"	Q8WVH0	15	74826627-74831802	"Predicted intracellular proteins"	"Exocytosis, Neurotransmitter transport, Sensory transduction, Transport, Vision"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"heart muscle: 44.2;lymphoid tissue: 110.3;prostate: 122.4;retina: 98.6"	"Group enriched"	"Detected in some"	5	"Astrocytes: 2.5;Cone photoreceptor cells: 1.7;Inhibitory neurons: 6.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Uterine cancer: 31.2"	"Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			CAB079003		Supported				NA	NA				"Cluster 77: Retina - Visual perception"	"Cluster 47: Retina - Visual perception"	"Cluster 32: Neurons - Synaptic function"			"CAB079003: "																	
CRIP2	"CRP2, ESP1"	ENSG00000182809	"Cysteine rich protein 2"	P52943	14	105472962-105480162	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"heart muscle: 1113.7"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 481.8;Cardiomyocytes: 794.5;Endothelial cells: 463.9;Smooth muscle cells: 314.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"memory B-cell: 52.1;memory CD4 T-cell: 80.4;naive B-cell: 109.9;T-reg: 115.6"	"Group enriched"	"Detected in all"	30	"B-cells: 109.9;T-cells: 115.6"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Endothelial cells, Heart muscle - Cardiomyocytes, Prostate - Endothelial cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042664	Approved		Approved	"Nucleoplasm,Nucleoli,Plasma membrane"		NA	NA		160000	"Cluster 26: Non-specific - Mitochondria"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Nucleoli	"Nucleoplasm, Plasma membrane"	"HPA042664: AB_10797017"	"unprognostic (2.68e-1)"	"unprognostic (6.53e-3)"	"unprognostic (2.11e-3)"	"unprognostic (2.19e-1)"	"unprognostic (2.39e-1)"	"unprognostic (2.14e-1)"	"unprognostic (1.63e-2)"	"unprognostic (2.56e-1)"	"unprognostic (3.20e-3)"	"unprognostic (9.68e-2)"	"unprognostic (6.96e-2)"	"unprognostic (1.14e-1)"	"unprognostic (2.04e-2)"	"unprognostic (6.25e-2)"	"unprognostic (2.35e-2)"	"unprognostic (2.39e-2)"	"unprognostic (8.26e-3)"
DAND5	"CER2, CKTSF1B3, Coco, DANTE, DTE, FLJ38607, GREM3"	ENSG00000179284	"DAN domain BMP antagonist family member 5"	Q8N907	19	12965159-12974760	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"heart muscle: 8.5"	"Group enriched"	"Detected in some"	4	"Cardiomyocytes: 13.8;Sertoli cells: 5.5"	"Low cancer specificity"	"Detected in single"			"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 1.5"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in some"			"Heart muscle - Cardiomyocytes"	"Not detected"	"Not detected"							"HPA043493, HPA049472"	Uncertain		Approved	Mitochondria	"Secreted in other tissues"	NA	NA			"Cluster 11: Basophils - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 47: Retina - Visual perception"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria		"HPA043493: AB_2732505, HPA049472: AB_2680781"	"unprognostic (1.18e-2)"	"unprognostic (4.63e-2)"	"unprognostic (7.51e-2)"	"unprognostic (4.63e-2)"	"unprognostic (3.82e-2)"	"unprognostic (8.71e-2)"	"unprognostic (2.29e-2)"	"unprognostic (3.18e-1)"	"unprognostic (5.95e-3)"	"unprognostic (7.27e-3)"	"unprognostic (8.17e-2)"	"unprognostic (2.15e-1)"	"unprognostic (2.48e-10)"	"unprognostic (4.43e-1)"	"unprognostic (2.48e-2)"	"unprognostic (6.77e-2)"	"unprognostic (1.37e-1)"
FITM2	"C20orf142, dJ881L22.2, FIT2"	ENSG00000197296	"Fat storage inducing transmembrane protein 2"	Q8N6M3	20	44302840-44311202	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid metabolism"	Hydrolase	"Deafness, Disease variant, Dystonia, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"heart muscle: 67.4"	"Cell type enriched"	"Detected in many"	10	"Cardiomyocytes: 161.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Skin - Sebaceous gland cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 32: T-cells - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (2.92e-2)"	"unprognostic (7.61e-2)"	"unprognostic (2.27e-2)"	"unprognostic (2.10e-3)"	"unprognostic (1.02e-1)"	"unprognostic (3.57e-3)"	"unprognostic (1.63e-2)"	"unprognostic (3.90e-2)"	"unprognostic (8.43e-2)"	"unprognostic (5.19e-2)"	"unprognostic (6.56e-3)"	"unprognostic (1.19e-1)"	"prognostic favorable (8.98e-12)"	"unprognostic (2.07e-1)"	"unprognostic (2.54e-1)"	"unprognostic (3.38e-3)"	"unprognostic (2.49e-3)"
FRMD5	MGC14161	ENSG00000171877	"FERM domain containing 5"	Q7Z6J6	15	43870761-44195271	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 38.7;heart muscle: 46.6;retina: 20.0"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 370.3;Inhibitory neurons: 632.1;Oligodendrocyte precursor cells: 285.9;Oligodendrocytes: 1888.1"	"Cancer enhanced"	"Detected in many"		"glioma: 6.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 35: T-regs - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"				"unprognostic (9.54e-2)"	"unprognostic (2.16e-2)"	"unprognostic (2.39e-1)"	"unprognostic (1.19e-2)"	"unprognostic (1.33e-1)"	"unprognostic (7.26e-7)"	"unprognostic (3.55e-2)"	"unprognostic (3.08e-1)"	"unprognostic (1.62e-1)"	"unprognostic (5.00e-3)"	"prognostic unfavorable (5.89e-4)"	"unprognostic (7.01e-2)"	"unprognostic (2.92e-4)"	"unprognostic (1.21e-1)"	"unprognostic (7.31e-2)"	"unprognostic (1.18e-1)"	"unprognostic (3.31e-1)"
